area_code,year,urban_green_availability
ITE31,2020,26.8
ITE31,2021,26.7
ITE31,2022,26.7
ITE31,2023,26.8
ITE32,2011,50.1
ITE32,2012,50.2
ITE32,2013,50.3
ITE32,2014,50.5
ITE32,2015,51.3
ITE32,2016,51.5
ITE32,2017,52.0
ITE32,2018,52.0
ITE32,2019,52.5
ITE32,2020,52.5
ITE32,2021,52.7
ITE32,2022,53.4
ITE32,2023,53.2
ITE33,2011,17.6
ITE33,2012,17.6
ITE33,2013,17.8
ITE33,2014,17.8
ITE33,2015,18.4
ITE33,2016,18.5
ITE33,2017,18.7
ITE33,2018,18.7
ITE33,2019,20.1
ITE33,2020,20.2
ITE33,2021,20.8
ITE33,2022,21.0
ITE33,2023,21.0
ITE34,2011,13.2
ITE34,2012,13.3
ITE34,2013,13.5
ITE34,2014,13.5
ITE34,2015,13.6
ITE34,2016,15.1
ITE34,2017,15.2
ITE34,2018,15.2
ITE34,2019,15.6
ITE34,2020,15.8
ITE34,2021,16.0
ITE34,2022,16.2
ITE34,2023,16.3
ITE4,2011,21.9
ITE4,2012,21.8
ITE4,2013,21.6
ITE4,2014,21.4
ITE4,2015,21.4
ITE4,2016,21.2
ITE4,2017,21.2
ITE4,2018,21.2
ITE4,2019,21.2
ITE4,2020,21.7
ITE4,2021,22.0
ITE4,2022,22.0
ITE4,2023,22.2
ITE41,2011,12.6
ITE41,2012,12.4
ITE41,2013,12.3
ITE41,2014,12.3
ITE41,2015,12.2
ITE41,2016,12.2
ITE41,2017,12.1
ITE41,2018,12.1
ITE41,2019,12.1
ITE41,2020,12.1
ITE41,2021,12.1
ITE41,2022,12.1
ITE41,2023,12.4
ITE42,2011,337.1
ITE42,2012,334.5
ITE42,2013,332.1
ITE42,2014,332.7
ITE42,2015,333.5
ITE42,2016,333.7
ITE42,2017,333.9
ITE42,2018,333.9
ITE42,2019,337.2
ITE42,2020,341.0
ITE42,2021,344.9
ITE42,2022,346.8
ITE42,2023,347.8
ITE43,2011,16.7
ITE43,2012,16.7
ITE43,2013,16.6
ITE43,2014,16.4
ITE43,2015,16.3
ITE43,2016,16.2
ITE43,2017,16.2
ITE43,2018,16.2
ITE43,2019,16.5
ITE43,2020,16.7
ITE43,2021,16.9
ITE43,2022,17.0
ITE43,2023,17.2
ITE44,2011,17.5
ITE44,2012,17.3
ITE44,2013,17.0
ITE44,2014,16.9
ITE44,2015,16.9
ITE44,2016,16.8
ITE44,2017,16.7
ITE44,2018,16.7
ITE44,2019,16.5
ITE44,2020,16.5
ITE44,2021,16.8
ITE44,2022,16.7
ITE44,2023,16.7
ITE45,2011,26.8
ITE45,2012,27.2
ITE45,2013,28.7
ITE45,2014,29.0
ITE45,2015,29.2
ITE45,2016,29.6
ITE45,2017,30.1
ITE45,2018,30.1
ITE45,2019,30.8
ITE45,2020,31.5
ITE45,2021,31.9
ITE45,2022,32.2
ITE45,2023,32.3
ITF,2011,25.6
ITF,2012,25.7
ITF,2014,25.8
ITF,2015,24.5
ITF,2016,24.6
ITF,2017,26.2
ITF,2018,26.3
ITF,2019,26.3
ITF,2020,26.8
ITF,2021,27.2
ITF,2022,27.3
ITF,2023,27.5
ITF1,2011,27.5
ITF1,2012,27.7
ITF1,2013,27.7
ITF1,2014,27.7
ITF1,2015,28.1
ITF1,2016,28.2
ITF1,2017,28.4
ITF1,2018,28.5
ITF1,2019,28.5
ITF1,2020,28.8
ITF1,2021,29.1
ITF1,2022,29.1
ITF1,2023,29.2
ITF11,2011,31.1
ITF11,2012,31.2
ITF11,2013,31.2
ITF11,2014,31.3
ITF11,2015,32.8
ITF11,2016,32.9
ITF11,2017,33.0
ITF11,2018,33.0
ITF11,2019,33.2
