area_code,year,public_transport_access_value
074001,2007,15.826771217
074001,2008,15.138865698
074001,2009,17.366490921
074001,2010,14.695150823
074001,2011,14.738319631
074001,2012,14.750726108
075035,2001,11.517483873
075035,2002,14.34215252
075035,2003,15.635134282
075035,2004,7.0379941717
075035,2005,13.871853597
075035,2006,14.606614863
075035,2007,15.044723958
075035,2008,16.09924161
075035,2009,16.993105775
075035,2010,20.549275735
075035,2011,21.974572281
075035,2012,20.3971695
076063,2001,22.9251578
076063,2002,21.77605505
076063,2003,21.783961196
076063,2004,17.726609514
076063,2005,14.743552425
076063,2006,18.18327986
076063,2007,18.977727223
076063,2008,18.447078115
076063,2009,19.71563981
076063,2010,15.871044113
076063,2011,13.046534103
076063,2012,11.094072155
077014,2001,19.372141264
077014,2002,19.62776123
077014,2003,19.504016288
077014,2004,19.356974878
077014,2005,19.907044226
077014,2006,19.97565991
077014,2007,19.231250365
077014,2008,27.72201669
077014,2009,25.375294653
077014,2010,24.427229273
077014,2011,24.053094006
077014,2012,21.421329758
078045,2001,117.27470965
078045,2002,113.80143611
078045,2003,106.40598944
078045,2004,106.31360537
078045,2005,107.53558371
078045,2006,107.10231127
078045,2007,107.50761512
078045,2008,88.922078295
078045,2009,84.792719339
078045,2010,60.80766892
078045,2011,62.745546238
078045,2012,62.949240725
079023,2001,40.137221269
079023,2002,41.073418999
079023,2003,40.972302639
079023,2004,42.900069992
079023,2005,42.116693286
079023,2006,43.662992809
079023,2007,44.81248507
079023,2008,42.629437456
079023,2009,59.500805584
079023,2010,55.110338687
079023,2011,51.785013731
079023,2012,52.992475047
080063,2001,40.052067688
080063,2002,38.847236019
080063,2003,38.695090975
080063,2004,38.410781358
080063,2005,40.826324814
080063,2006,39.072251104
080063,2007,39.485498545
080063,2008,38.254516458
080063,2009,39.087421765
080063,2010,39.419872664
080063,2011,39.947023277
080063,2012,40.229468891
081021,2001,35.621818182
081021,2002,34.953473401
081021,2003,33.374283374
081021,2004,32.055799238
081021,2005,30.732943993
081021,2006,37.605992086
081021,2007,40.83914896
081021,2008,39.77759677
081021,2009,35.424678295
081021,2010,35.660692545
081021,2011,36.335260526
081021,2012,35.210365203
082053,2001,51.269468665
082053,2002,63.757080265
082053,2003,64.419494346
082053,2004,57.564278266
082053,2005,59.787667605
082053,2006,59.83226806
082053,2007,60.618548948
082053,2008,55.163820518
082053,2009,45.913612474
082053,2010,54.575000991
082053,2011,45.954338792
082053,2012,42.865890998
083048,2001,31.209480327
083048,2002,31.772578588
083048,2003,42.380318375
083048,2004,41.712346435
083048,2005,42.950710142
083048,2006,41.352480864
083048,2007,39.90546983
083048,2008,40.030530717
083048,2009,40.864173411
083048,2010,47.609334792
083048,2011,47.762255252
083048,2012,47.513034963
084001,2001,24.175664376
084001,2002,23.261497244
084001,2003,21.611447096
084001,2004,20.274167826
084001,2005,19.468097713
084001,2006,18.715152336
084001,2007,21.432075376
084001,2008,13.492492899
084001,2009,7.4372063149
084001,2010,8.1106426839
084001,2011,7.9397256571
084001,2012,7.8166637058
085004,2001,14.731832089
085004,2002,13.962205472
085004,2003,13.114754098
085004,2004,11.426877861
085004,2005,11.154103175
085004,2006,10.903916475
085004,2007,10.523345561
085004,2008,10.067783094
085004,2009,11.617100372
085004,2010,9.6570262333
085004,2011,9.6692196508
085004,2012,7.4367378176
086009,2001,37.590445471
086009,2002,37.608552745
086009,2003,38.102197401
086009,2004,38.563247579
086009,2005,39.374515743
086009,2006,39.580124971
086009,2007,40.848222214
086009,2008,42.952208106
086009,2009,42.112776588
086009,2010,37.267303316
086009,2011,36.651470008
086009,2012,38.822050637
087015,2001,136.3052433
087015,2002,130.16822876
087015,2003,122.6623305
087015,2004,117.63076015
087015,2005,112.67106836
087015,2006,103.66711353
087015,2007,98.024881728
087015,2008,89.99942898
087015,2009,81.089754417
087015,2010,81.504255164
087015,2011,66.372286791
087015,2012,57.663732801
088009,2001,4.9911284855
088009,2002,4.8918807766
088009,2003,5.8477872087
088009,2004,5.846685363
088009,2005,5.913701699
088009,2006,5.8694159029
088009,2007,6.054783348
088009,2008,7.4346371484
088009,2009,7.5297081211
088009,2010,7.7510946721
088009,2011,6.9030393676
088009,2012,5.2166039368
089017,2001,13.343871488
089017,2002,15.303721255
089017,2003,17.152058816
089017,2004,20.701916754
089017,2005,20.706119267
089017,2006,20.649949654
089017,2007,18.832086636
089017,2008,16.150001211
089017,2009,16.945664936
089017,2010,16.961610222
089017,2011,12.85463503
089017,2012,8.7303708383
090064,2001,70.126343329
090064,2002,71.439796855
090064,2003,75.610087382
090064,2004,75.047208422
090064,2005,74.890634518
090064,2006,76.809718367
090064,2007,76.477413396
090064,2008,72.615963484
090064,2009,67.924441444
090064,2010,68.292570798
090064,2011,73.470762495
090064,2012,82.801580067
091051,2001,39.438439691
091051,2002,38.909659439
091051,2003,37.382417523
091051,2004,35.99146426
