area_code,year,car_ownership_density
ITC14,2021,3081.14896073903
ITC15,2021,2995.0101509184747
ITG,2021,3101.377755028469
ITD54,2021,2819.962078742376
ITD5,2021,2784.8393279771244
ITD56,2021,3079.875504933448
ITD57,2021,2997.9065437036547
ITD32,2021,2864.6012396491265
ITE4,2021,2861.826272737639
ITE31,2021,2926.132140986123
ITE32,2021,2916.507736680415
ITC49,2021,2642.7461714877563
ITC4A,2021,2731.8042961741744
ITE21,2021,3382.676062199165
ITC48,2021,2862.5167790661944
ITE33,2021,3157.5358133417208
ITG1,2021,3188.0385247476547
ITF63,2021,3105.576392144606
ITF64,2021,3163.0613751206497
ITF65,2021,3130.6042884990256
ITC16,2021,3091.060382916053
ITD33,2021,2885.98906918612
ITD59,2021,2811.8654341566903
ITC17,2021,3275.503107749815
ITC4,2021,2627.65300171331
ITF22,2021,3185.3610161623833
ITF3,2021,2776.9698153180693
ITE3,2021,3036.8102101312775
ITE19,2021,3204.615046268884
ITF2,2021,3276.1358623731803
ITF21,2021,3510.60003269933
ITC18,2021,3213.4708425980757
ITF6,2021,3165.678430251941
ITF61,2021,3316.297810761653
ITDA,2021,4418.090481508292
ITD55,2021,2555.819847603737
ITF51,2021,3235.2761166435025
ITF52,2021,2924.887535784069
ITF4,2021,2828.6942353008126
ITF32,2021,3141.2002017145737
ITF33,2021,2649.1437253554245
ITF34,2021,3057.0495324175577
ITC33,2021,2333.275766978825
ITD,2021,2979.0181083903094
ITE22,2021,3393.13881825626
ITC34,2021,2721.92411291862
ITE13,2021,3051.8810631753295
ITE,2021,3002.3406194192107
ITE1,2021,3125.519277852394
ITD3,2021,2817.8789346246976
ITD31,2021,2865.9121251187094
ITD58,2021,2849.981071872803
ITD20,2021,5548.230746581909
ITE11,2021,2955.2856283824417
ITC31,2021,2742.779783393502
ITC32,2021,2893.282662284306
ITF35,2021,2898.3571078844834
ITE18,2021,3248.9392555991194
ITE14,2021,3402.4379267336158
ITE1A,2021,3145.9401976729637
ITE2,2021,3385.223623732869
ITC4B,2021,2940.9852091125467
ITE12,2021,3105.0997887382127
ITC2,2021,8267.064478700482
ITC20,2021,8267.064478700482
ITF44,2021,3083.8403840384035
ITF45,2021,3123.773427241256
ITF62,2021,2809.1136498439796
ITE15,2021,2533.0548319461213
ITE16,2021,2933.2829521473795
ITD10,2021,3367.2306072306073
ITF5,2021,3123.7003944757066
ITF41,2021,2571.632853046855
ITF42,2021,2731.557392476154
ITF43,2021,2841.0786421683606
ITC3,2021,2544.6556736348175
ITD2,2021,5548.230746581909
ITD1,2021,3367.2306072306073
ITE17,2021,2965.133335443906
ITG19,2021,3154.4278698729627
ITC44,2021,2731.9180737523066
ITC45,2021,2297.3152938156577
ITE44,2021,2927.1209524392484
ITE45,2021,3452.990309447811
ITE41,2021,3394.8033096240383
ITG17,2021,3454.615611966766
ITG18,2021,3144.319514382286
ITD43,2021,2890.9729251012145
ITC11,2021,2841.4739760110883
ITC12,2021,3217.2764282440485
ITG14,2021,3296.6920893934016
ITG15,2021,3061.933507194573
ITG25,2021,2885.9487053755156
IT109,2021,3203.1996241876973
ITG2,2021,2857.756789780325
ITG19,2022,3141.471938600699
ITG2,2022,2853.1752426200364
IT108,2022,2824.735664804249
ITG15,2022,3098.50915959144
ITG14,2022,3313.3616118769883
ITC12,2022,3201.7630559636705
ITC11,2022,2856.3938217494447
ITD43,2022,2895.741788638447
ITG18,2022,3123.7320860413893
ITG17,2022,3434.695689903369
ITG25,2022,2884.992501018648
ITE41,2022,3366.718846490787
ITE45,2022,3449.574310039426
ITE44,2022,2902.6189179375456
ITC45,2022,2312.45478023033
ITC44,2022,2735.9475002318895
ITE17,2022,2965.9663865546217
ITD1,2022,3500.231322463514
ITD,2022,3012.8480257929355
ITD10,2022,3500.231322463514
ITF43,2022,2840.805939181742
ITF42,2022,2743.3557097459616
ITF41,2022,2576.7122593351532
ITF5,2022,3133.9836148676272
ITE16,2022,2940.3059409462826
ITE15,2022,2608.7671589780334
ITF45,2022,3132.546710666888
ITF44,2022,3102.677557072984
ITC20,2022,9531.960673971334
ITC2,2022,9531.960673971334
ITE12,2022,3110.2327985153515
ITE2,2022,3383.2217470280007
ITE1A,2022,3142.6820400955644
ITE14,2022,3518.980208965111
ITE18,2022,3246.2650666809204
ITF35,2022,2917.9764605669448
ITC32,2022,2895.277558987706
ITC31,2022,2696.7128210548567
ITC3,2022,2531.2662305496096
ITE11,2022,2979.4271397942716
ITD20,2022,5838.031555221638
ITD2,2022,5838.031555221638
ITD31,2022,2912.1824355681356
ITD3,2022,2835.7652058414233
ITE1,2022,3167.5446294404037
ITE,2022,3016.911310293764
ITE13,2022,3058.122229010982
ITC33,2022,2320.9677509019853
ITE22,2022,3372.9638203017835
ITE21,2022,3386.536636721916
ITC4B,2022,2963.018723891516
ITF34,2022,3063.1219979717152
ITF33,2022,2653.8550730482652
ITF32,2022,3165.838824125697
ITF4,2022,2838.696565508712
ITF52,2022,2933.3031058716842
ITF51,2022,3247.186556857128
ITF62,2022,2861.4836764400084
ITD55,2022,2562.2799781101194
ITDA,2022,4628.616395535215
ITF61,2022,3307.9973127132375
ITF6,2022,3176.4805024937154
ITC18,2022,3205.090536765606
ITC17,2022,3251.754139769857
ITF21,2022,3532.0731841728207
ITF2,2022,3268.081032203158
ITF31,2022,2859.3332949286632
ITE19,2022,3214.157463242767
ITE3,2022,3043.811913689217
ITF3,2022,2788.398696593763
ITF22,2022,3167.55849333753
ITC4,2022,2642.320437520169
ITC34,2022,2715.3232427425637
ITC16,2022,3100.6563587507158
ITD59,2022,2809.3746868423686
ITD58,2022,2854.756435558144
ITD32,2022,2881.129716345093
ITF65,2022,3152.9806686683983
ITF64,2022,3175.225557510072
ITF63,2022,3111.4308304493784
ITG1,2022,3182.7336451193637
ITE33,2022,3165.8138768256154
ITC48,2022,2868.2352183330513
ITC47,2022,2748.404078096888
ITC4A,2022,2744.592245666554
ITC49,2022,2650.8789691670504
ITE32,2022,2911.485804062395
ITE31,2022,2950.799853461961
ITE4,2022,2865.021160539345
ITD57,2022,2998.819633430604
ITD56,2022,3065.337019483939
ITD5,2022,2798.1187608955493
ITD54,2022,2828.908209622817
ITG,2022,3096.179758714418
ITC15,2022,2993.0219553113375
ITC14,2022,3088.7405403850025
ITC13,2022,3456.448618249334
ITE43,2022,2752.6283979492573
ITE42,2022,3194.1179810367344
ITF13,2022,2850.649441634323
ITF12,2022,3183.9156229400132
ITC42,2022,2928.5452967296255
ITC41,2022,2982.527504847932
ITE34,2022,3197.169543058381
ITD53,2022,2852.1067822196496
ITD34,2022,2905.878445379365
ITD33,2022,2882.0944089929426
ITD35,2022,2546.613554247142
ITG13,2022,3194.4589377021807
ITG12,2022,2930.5484145778523
ITG11,2022,3228.431658405417
ITG16,2022,3182.0412455453643
ITD42,2022,3128.5414039512398
ITD37,2022,3154.224161654283
ITD36,2022,2816.7122164525827
ITC46,2022,2631.325436478976
ITF11,2022,3260.9341698436046
ITF1,2022,3131.750606007012
ITF,2022,2912.6264947521136
ITF14,2022,3227.896666382471
ITD52,2022,2769.053181763614
ITD51,2022,2857.1751787384233
IT109,2022,3206.3793776851976
ITG27,2022,2832.3947305579877
ITD41,2022,3021.8515752496337
ITD4,2022,2950.672206041502
ITD44,2022,2482.4957597240486
ITC1,2022,2998.496848447381
ITC43,2022,2822.204035702412
ITC,2022,2781.5267106744705
ITG26,2022,2912.729734958406
IT111,2022,2777.8343095403557
ITG28,2022,2891.7037481914226
IT110,2022,2716.004426832316
IT111,2023,2827.662224436418
ITC1,2023,3064.1179387303387
ITG27,2023,1055.662150133518
ITG18,2023,3116.500307741711
ITG28,2023,7907.963875205254
ITG17,2023,3463.3392083306385
IT109,2023,3210.5548247310994
IT108,2023,2829.737677235275
ITG2,2023,2888.0411289149365
ITG19,2023,3148.2073610449693
ITC,2023,2795.702783394141
ITD44,2023,2467.714672075727
ITC41,2023,2987.5721588752335
ITE34,2023,3226.577855426949
ITE33,2023,3166.647707883062
ITD36,2023,2826.4856453395278
ITD35,2023,2552.0511331837415
ITG13,2023,3210.120431801128
