area_code,year,youth_employment_rate
ITF41,2021.0,12.861893
ITF41,2022.0,14.223133
ITF41,2023.0,14.424471
ITF41,2024.0,15.046983
ITF41,2025.0,9.098504
ITF42,2018.0,12.75971
ITF42,2019.0,15.279146
ITF42,2020.0,13.680937
ITF42,2021.0,15.254211
ITF42,2022.0,14.618388
ITF42,2023.0,19.081698
ITF42,2024.0,17.997553
ITF42,2025.0,12.482089
ITF43,2018.0,12.582859
ITF43,2019.0,11.571407
ITF43,2020.0,9.099235
ITF43,2021.0,10.163211
ITF43,2022.0,10.90041
ITF43,2023.0,8.538779
ITF43,2024.0,6.558596
ITF43,2025.0,8.474871
ITF44,2018.0,19.449263
ITF44,2019.0,15.137853
ITF44,2020.0,18.553343
ITF44,2021.0,15.626367
ITF44,2022.0,22.372644
ITF44,2023.0,19.591026
ITF44,2024.0,15.998044
ITF44,2025.0,18.607832
ITF45,2018.0,12.844661
ITF45,2019.0,12.999734
ITF45,2020.0,12.312557
ITF45,2021.0,13.649795
ITF45,2022.0,18.333486
ITF45,2023.0,17.832721
ITF45,2024.0,20.515532
ITF45,2025.0,21.798442
ITF5,2018.0,12.485723
ITF5,2019.0,13.723066
