area_code,year,green_urban_space_per_capita
046017,2022,17.9
046017,2022,16.3
046017,2023,18.0
046017,2023,16.4
047014,2011,19.8
047014,2011,15.8
047014,2012,19.8
047014,2012,15.7
047014,2013,19.8
047014,2013,15.7
047014,2014,19.8
047014,2014,15.7
047014,2015,19.8
047014,2015,15.7
047014,2016,20.1
047014,2016,16.0
047014,2017,20.7
047014,2017,16.6
047014,2018,21.1
047014,2018,17.1
047014,2019,21.1
047014,2019,17.1
047014,2020,21.2
047014,2020,17.2
047014,2021,21.4
047014,2021,17.3
047014,2022,21.4
047014,2022,17.3
047014,2023,21.5
047014,2023,17.4
048017,2011,24.9
048017,2011,20.4
048017,2012,24.7
048017,2012,20.2
048017,2013,24.6
048017,2013,20.0
048017,2014,24.2
048017,2014,19.8
048017,2015,24.2
048017,2015,19.8
048017,2016,24.1
048017,2016,19.8
048017,2017,24.2
048017,2017,19.9
048017,2018,24.5
048017,2018,20.1
048017,2019,25.0
048017,2019,20.5
048017,2020,25.0
048017,2020,20.6
048017,2021,25.4
048017,2021,20.9
048017,2022,26.6
048017,2022,22.1
048017,2023,26.7
048017,2023,22.1
049009,2011,14.4
049009,2011,11.8
049009,2012,14.4
049009,2012,14.4
049009,2013,12.1
049009,2013,12.1
049009,2014,14.5
049009,2014,14.6
049009,2015,14.6
049009,2015,14.6
049009,2016,14.6
049009,2016,14.6
049009,2017,14.7
049009,2017,12.3
049009,2018,14.7
049009,2018,14.7
049009,2019,14.8
049009,2019,14.8
049009,2020,14.9
049009,2020,12.5
049009,2021,15.0
049009,2021,15.0
049009,2022,15.2
049009,2022,15.1
049009,2023,15.2
049009,2023,15.1
050026,2011,22.5
050026,2011,22.0
050026,2012,22.4
050026,2012,22.0
050026,2013,22.2
050026,2013,21.8
050026,2014,22.1
050026,2014,21.7
050026,2015,22.2
050026,2015,21.7
050026,2016,22.0
050026,2016,21.6
050026,2017,22.2
050026,2017,21.7
050026,2018,22.3
050026,2018,21.9
050026,2019,22.4
050026,2019,22.0
050026,2020,22.8
050026,2020,22.3
050026,2021,22.9
050026,2021,22.1
050026,2022,23.1
050026,2022,22.2
050026,2023,23.3
050026,2023,22.2
051002,2011,28.7
051002,2011,28.7
051002,2012,28.6
051002,2012,28.6
051002,2013,28.6
051002,2013,28.6
051002,2014,28.7
051002,2014,28.8
051002,2015,28.8
051002,2015,28.8
051002,2016,29.1
051002,2016,29.1
051002,2017,29.1
051002,2017,29.1
051002,2018,29.2
051002,2018,29.2
051002,2019,29.3
051002,2019,29.3
051002,2020,29.5
051002,2020,29.5
051002,2021,29.9
051002,2021,29.8
051002,2022,30.0
051002,2022,29.9
051002,2023,30.1
051002,2023,30.0
052032,2011,33.3
052032,2011,9.7
052032,2012,33.3
052032,2012,14.4
052032,2013,27.5
052032,2013,9.7
052032,2014,33.3
052032,2014,14.6
052032,2015,33.6
052032,2015,14.6
052032,2016,33.6
052032,2016,14.7
052032,2017,33.6
052032,2017,10.0
052032,2018,33.4
052032,2018,14.6
052032,2019,33.5
052032,2019,14.7
052032,2020,33.6
052032,2020,10.2
052032,2021,34.0
052032,2021,14.9
052032,2022,34.3
052032,2022,15.0
052032,2023,34.4
052032,2023,15.1
053011,2011,36.0
053011,2011,22.5
053011,2012,35.8
053011,2012,25.3
053011,2013,32.8
053011,2013,22.3
053011,2014,35.7
053011,2014,25.2
053011,2015,35.7
053011,2015,25.2
053011,2016,36.6
053011,2016,26.2
053011,2017,36.7
053011,2017,23.8
053011,2018,36.6
053011,2018,26.2
053011,2019,36.6
053011,2019,26.2
053011,2020,36.7
053011,2020,23.8
053011,2021,36.8
053011,2021,26.3
053011,2022,36.8
053011,2022,26.3
053011,2023,37.9
053011,2023,26.3
054039,2011,62.9
054039,2011,32.1
