area_code,year,pm10_annual_avg
ITE32,2013,28.0
ITE32,2014,25.0
ITE32,2015,29.0
ITE32,2016,26.0
ITE32,2017,25.0
ITE32,2018,25.0
ITE32,2019,24.0
ITE32,2020,26.0
ITE32,2021,24.0
ITE32,2022,25.0
ITE32,2023,23.0
ITE33,2013,17.0
ITE33,2014,19.0
ITE33,2015,17.0
ITE33,2016,16.0
ITE33,2017,16.0
ITE33,2018,17.0
ITE33,2019,19.0
ITE33,2020,16.0
ITE33,2021,16.0
ITE33,2022,16.0
ITE33,2023,18.0
ITE34,2013,0.0
ITE34,2014,22.0
ITE34,2015,21.0
ITE34,2016,19.0
ITE34,2017,19.0
ITE34,2018,20.0
ITE34,2019,24.0
ITE34,2020,22.0
ITE34,2021,25.0
ITE34,2022,22.0
ITE34,2023,16.0
ITE4,2013,4.0
ITE4,2014,3.0
ITE4,2015,4.0
ITE4,2016,4.0
ITE4,2017,3.0
ITE4,2018,3.0
ITE4,2019,3.0
ITE4,2020,3.0
ITE4,2021,3.0
ITE4,2022,4.0
ITE4,2023,3.0
ITE41,2013,19.0
ITE41,2014,20.0
ITE41,2015,19.0
ITE41,2016,19.0
ITE41,2017,18.0
ITE41,2018,18.0
ITE41,2019,17.0
ITE41,2020,17.0
ITE41,2021,17.0
ITE41,2022,19.0
ITE41,2023,17.0
ITE42,2013,21.0
ITE42,2014,20.0
ITE42,2015,22.0
ITE42,2016,21.0
ITE42,2017,20.0
ITE42,2018,19.0
ITE42,2019,18.0
ITE42,2020,18.0
ITE42,2021,18.0
ITE42,2022,22.0
ITE42,2023,22.0
ITE43,2013,33.0
ITE43,2014,31.0
ITE43,2015,35.0
ITE43,2016,32.0
ITE43,2017,31.0
ITE43,2018,30.0
ITE43,2019,30.0
ITE43,2020,32.0
ITE43,2021,30.0
ITE43,2022,31.0
ITE43,2023,31.0
ITE44,2013,31.0
ITE44,2014,27.0
ITE44,2015,28.0
ITE44,2016,25.0
ITE44,2017,24.0
ITE44,2018,23.0
ITE44,2019,23.0
ITE44,2020,24.0
ITE44,2021,24.0
ITE44,2022,23.0
ITE45,2013,50.0
ITE45,2014,46.0
ITE45,2015,50.0
ITE45,2016,43.0
ITE45,2017,39.0
ITE45,2018,41.0
ITE45,2019,34.0
ITE45,2020,36.0
ITE45,2021,29.0
ITE45,2022,30.0
ITE45,2023,33.0
ITF,2013,13.0
ITF,2014,14.0
ITF,2015,19.0
ITF,2016,18.0
ITF,2017,17.0
ITF,2018,18.0
ITF,2019,16.0
ITF,2020,15.0
ITF,2021,19.0
ITF,2022,15.0
ITF,2023,12.0
ITF1,2013,2.0
ITF1,2014,2.0
ITF1,2015,3.0
ITF1,2016,2.0
ITF1,2017,3.0
ITF1,2018,3.0
ITF1,2019,2.0
ITF1,2020,3.0
ITF1,2021,2.0
ITF1,2022,3.0
ITF1,2023,2.0
ITF11,2013,19.0
ITF11,2014,19.0
ITF11,2015,21.0
ITF11,2016,18.0
ITF11,2017,16.0
ITF11,2018,17.0
ITF11,2019,16.0
ITF11,2020,16.0
ITF11,2021,16.0
ITF11,2022,17.0
ITF11,2023,15.0
ITF12,2013,22.0
ITF12,2014,22.0
ITF12,2015,24.0
ITF12,2016,21.0
ITF12,2017,22.0
ITF12,2018,24.0
