area_code,year,water_quality
075035,2014,94.7
075035,2014,8979.6
075035,2015,597.3
075035,2015,56711.3
075035,2015,469.3
075035,2015,44560.3
075035,2015,128.0
075035,2015,12151.0
075035,2016,518.1
075035,2016,49093.4
075035,2016,325.1
075035,2016,30810.8
075035,2016,192.9
075035,2016,18282.6
075035,2017,504.3
075035,2017,47624.2
075035,2017,210.4
075035,2017,19874.0
075035,2017,293.9
075035,2017,27750.2
075035,2018,518.3
075035,2018,48675.3
075035,2018,186.0
075035,2018,17472.9
075035,2018,332.2
075035,2018,31202.4
075035,2019,515.7
075035,2019,48310.7
075035,2019,179.8
075035,2019,16843.8
075035,2019,335.9
075035,2019,31466.9
075035,2020,497.5
075035,2020,46988.7
075035,2020,190.8
075035,2020,18024.4
075035,2020,306.7
075035,2020,28964.3
075035,2021,505.6
075035,2021,47987.6
075035,2021,157.9
075035,2021,14989.3
075035,2021,347.7
075035,2021,32998.3
075035,2022,545.3
075035,2022,51632.0
075035,2022,163.2
075035,2022,15449.9
075035,2022,382.1
075035,2022,36182.2
075035,2023,549.5
075035,2023,51880.9
075035,2023,163.3
075035,2023,15421.0
075035,2023,386.1
075035,2023,36459.9
076063,2010,448.4
076063,2010,30142.8
076063,2010,357.0
076063,2010,24000.7
076063,2010,91.4
076063,2010,6142.2
076063,2011,428.2
076063,2011,28712.6
076063,2011,330.2
076063,2011,22141.1
076063,2011,98.0
076063,2011,6571.5
076063,2012,423.9
076063,2012,28375.3
076063,2012,335.6
076063,2012,22466.0
076063,2012,88.3
076063,2012,5909.3
076063,2013,416.0
076063,2013,27775.9
076063,2013,331.4
076063,2013,22123.8
076063,2013,84.7
076063,2013,5652.1
076063,2014,415.4
076063,2014,27719.2
076063,2014,327.5
076063,2014,21853.2
076063,2014,87.9
076063,2014,5866.1
076063,2015,421.5
076063,2015,28106.1
076063,2015,335.3
076063,2015,22359.9
076063,2015,86.2
076063,2015,5746.2
076063,2016,419.5
076063,2016,27982.4
076063,2016,311.7
076063,2016,20786.9
076063,2016,107.9
076063,2016,7195.5
076063,2017,374.5
076063,2017,25046.3
076063,2017,194.3
076063,2017,12994.4
076063,2017,180.2
076063,2017,12051.8
076063,2018,371.2
076063,2018,24816.7
076063,2018,137.8
076063,2018,9211.8
076063,2018,233.4
076063,2018,15604.9
076063,2019,386.0
076063,2019,25694.5
076063,2019,137.7
076063,2019,9166.2
076063,2019,248.3
076063,2019,16528.4
076063,2020,395.3
076063,2020,26050.9
076063,2020,147.0
076063,2020,9686.3
076063,2020,248.3
076063,2020,16364.6
076063,2021,407.8
076063,2021,26560.8
076063,2021,155.5
076063,2021,10127.1
076063,2021,252.3
076063,2021,16433.8
076063,2022,413.4
076063,2022,26729.3
076063,2022,162.5
076063,2022,10509.4
076063,2022,250.8
076063,2022,16219.9
076063,2023,389.6
076063,2023,25039.8
076063,2023,151.6
076063,2023,9742.2
076063,2023,238.0
076063,2023,15297.6
077014,2010,369.5
077014,2010,22037.8
077014,2010,332.4
077014,2010,19829.2
077014,2010,37.0
077014,2010,2208.6
077014,2011,509.0
077014,2011,30506.8
077014,2011,399.5
077014,2011,23943.1
077014,2011,109.5
077014,2011,6563.7
077014,2012,502.4
077014,2012,30246.6
077014,2012,394.3
077014,2012,23740.4
077014,2012,108.1
077014,2012,6506.2
077014,2013,472.8
077014,2013,28556.2
077014,2013,364.8
077014,2013,22029.1
077014,2013,108.1
077014,2013,6527.0
077014,2014,478.3
077014,2014,28907.7
077014,2014,365.6
077014,2014,22095.2
077014,2014,112.7
077014,2014,6812.5
077014,2015,485.7
077014,2015,29340.5
077014,2015,371.4
077014,2015,22431.7
077014,2015,114.4
077014,2015,6908.8
077014,2016,498.1
077014,2016,30061.9
077014,2016,370.2
077014,2016,22343.7
077014,2016,127.9
077014,2016,7718.2
077014,2017,479.5
077014,2017,28954.6
077014,2017,354.7
077014,2017,21417.3
077014,2017,124.8
077014,2017,7537.3
077014,2018,497.6
077014,2018,30098.2
077014,2018,357.2
077014,2018,21603.1
077014,2018,140.5
077014,2018,8495.2
077014,2019,478.4
077014,2019,28960.6
077014,2019,362.2
077014,2019,21927.9
077014,2019,116.2
077014,2019,7032.6
077014,2020,389.8
077014,2020,23453.6
077014,2020,232.1
077014,2020,13963.9
077014,2020,157.7
077014,2020,9489.7
077014,2021,404.3
077014,2021,24166.0
077014,2021,101.1
077014,2021,6040.8
077014,2021,303.2
077014,2021,18125.2
077014,2022,416.5
077014,2022,24886.2
077014,2022,113.5
077014,2022,6778.3
077014,2022,303.1
077014,2022,18108.0
077014,2023,413.9
077014,2023,24706.7
077014,2023,119.7
077014,2023,7147.8
077014,2023,294.1
077014,2023,17558.9
078045,2010,502.3
078045,2010,34939.7
078045,2010,437.5
078045,2010,30434.2
078045,2010,64.8
078045,2010,4505.5
078045,2011,511.5
078045,2011,35591.2
078045,2011,452.9
078045,2011,31513.3
078045,2011,58.6
078045,2011,4077.8
078045,2012,410.6
078045,2012,28331.2
078045,2012,289.3
078045,2012,19959.5
078045,2012,121.3
078045,2012,8371.7
078045,2013,474.3
078045,2013,32362.8
078045,2013,368.6
078045,2013,25151.7
078045,2013,105.7
078045,2013,7211.2
078045,2014,410.8
078045,2014,27781.0
078045,2014,233.5
078045,2014,15790.9
078045,2014,177.3
078045,2014,11990.1
078045,2015,419.9
078045,2015,28218.5
078045,2015,218.1
078045,2015,14656.3
078045,2015,201.8
078045,2015,13562.2
078045,2016,417.9
078045,2016,27983.8
078045,2016,198.5
078045,2016,13290.3
078045,2016,219.4
078045,2016,14693.4
078045,2017,405.0
078045,2017,26977.5
078045,2017,191.9
078045,2017,12779.6
078045,2017,213.2
078045,2017,14197.9
078045,2018,475.2
078045,2018,31464.6
078045,2018,186.1
078045,2018,12323.7
078045,2018,289.1
078045,2018,19140.9
078045,2019,427.2
078045,2019,28134.1
078045,2019,165.4
078045,2019,10891.9
078045,2019,261.8
078045,2019,17242.2
078045,2020,421.0
078045,2020,27300.3
078045,2020,163.5
078045,2020,10602.8
078045,2020,257.5
078045,2020,16697.5
078045,2021,447.0
078045,2021,28637.9
078045,2021,169.5
078045,2021,10862.0
078045,2021,277.4
078045,2021,17775.9
078045,2022,425.6
078045,2022,27231.8
078045,2022,170.1
078045,2022,10887.0
078045,2022,255.4
078045,2022,16344.9
078045,2023,423.2
078045,2023,27004.4
078045,2023,175.2
078045,2023,11180.3
078045,2023,248.0
078045,2023,15824.2
079023,2010,534.7
079023,2010,48412.6
079023,2010,484.2
079023,2010,43834.7
079023,2010,50.6
079023,2010,4577.9
079023,2011,516.3
079023,2011,46557.8
079023,2011,468.7
079023,2011,42262.8
079023,2011,47.6
079023,2011,4295.0
079023,2012,470.5
079023,2012,42317.7
079023,2012,448.6
079023,2012,40351.6
079023,2012,21.9
079023,2012,1966.1
079023,2013,474.9
079023,2013,42642.8
079023,2013,455.6
079023,2013,40911.2
079023,2013,19.3
079023,2013,1731.6
079023,2014,473.9
079023,2014,42432.9
079023,2014,441.7
079023,2014,39548.3
079023,2014,32.2
079023,2014,2884.6
079023,2015,485.4
079023,2015,43339.0
079023,2015,437.3
079023,2015,39051.8
079023,2015,48.0
079023,2015,4287.3
079023,2016,445.2
079023,2016,39666.8
079023,2016,269.4
079023,2016,24002.3
079023,2016,175.8
079023,2016,15664.5
079023,2017,412.8
079023,2017,36658.5
079023,2017,161.5
079023,2017,14344.7
079023,2017,251.3
079023,2017,22313.8
079023,2018,415.6
079023,2018,36722.5
079023,2018,140.2
079023,2018,12389.7
079023,2018,275.4
079023,2018,24332.8
079023,2019,423.2
079023,2019,37129.5
079023,2019,139.7
079023,2019,12260.0
079023,2019,283.4
079023,2019,24869.5
079023,2020,412.9
079023,2020,35832.4
079023,2020,120.9
079023,2020,10493.2
079023,2020,292.0
079023,2020,25339.2
079023,2021,432.8
079023,2021,37178.5
079023,2021,132.9
079023,2021,11415.2
079023,2021,299.9
079023,2021,25763.4
079023,2022,427.5
079023,2022,36432.9
079023,2022,134.2
079023,2022,11433.5
079023,2022,293.3
079023,2022,24999.3
079023,2023,427.1
079023,2023,36081.6
079023,2023,139.2
079023,2023,11763.0
079023,2023,287.9
079023,2023,24318.7
080063,2010,482.5
080063,2010,87705.4
080063,2010,411.1
080063,2010,74734.8
080063,2010,71.4
080063,2010,12970.7
080063,2011,487.6
080063,2011,88683.2
080063,2011,434.8
080063,2011,79086.5
080063,2011,52.8
080063,2011,9596.8
080063,2012,435.0
080063,2012,79032.4
080063,2012,379.0
080063,2012,68868.9
080063,2012,55.9
080063,2012,10163.5
080063,2013,452.3
080063,2013,82069.0
080063,2013,416.9
080063,2013,75635.3
080063,2013,35.5
080063,2013,6433.6
080063,2014,457.9
080063,2014,82836.4
080063,2014,418.7
080063,2014,75743.5
080063,2014,39.2
080063,2014,7092.9
080063,2015,461.0
080063,2015,82992.2
080063,2015,383.8
080063,2015,69093.9
080063,2015,77.2
080063,2015,13898.3
080063,2016,448.5
080063,2016,80349.3
080063,2016,321.6
080063,2016,57611.3
080063,2016,126.9
080063,2016,22738.0
080063,2017,427.4
080063,2017,76144.4
080063,2017,292.6
080063,2017,52142.8
080063,2017,134.7
080063,2017,24001.6
080063,2018,409.2
080063,2018,72386.6
080063,2018,241.6
080063,2018,42745.6
080063,2018,167.5
080063,2018,29641.0
080063,2019,405.8
080063,2019,71254.5
080063,2019,216.5
080063,2019,38008.9
080063,2019,189.3
080063,2019,33245.6
080063,2020,363.2
080063,2020,63182.9
080063,2020,226.6
080063,2020,39420.3
080063,2020,136.6
080063,2020,23762.7
080063,2021,420.4
080063,2021,72616.7
080063,2021,274.1
080063,2021,47349.6
080063,2021,146.3
080063,2021,25267.1
080063,2022,395.8
080063,2022,68003.3
080063,2022,232.9
080063,2022,40012.0
080063,2022,162.9
080063,2022,27991.3
