area_code,school_level,year,enrollment_count,enrollment_total
ITC4,PRI,2015,471505,1139859
ITC4,UPP,2015,386529,1139859
ITC4,LOW,2016,282389,1146046
ITC4,PRI,2016,473941,1146046
ITC4,UPP,2016,389716,1146046
ITC4,LOW,2017,284671,1153049
ITC4,PRI,2017,475172,1153049
ITC4,UPP,2017,393206,1153049
ITC4,LOW,2018,288170,1157183
ITC4,PRI,2018,472375,1157183
ITC4,UPP,2018,396638,1157183
ITC4,LOW,2019,290789,1157366
ITC4,PRI,2019,467791,1157366
ITC4,UPP,2019,398786,1157366
ITC4,LOW,2020,294069,1155463
ITC4,PRI,2020,460393,1155463
ITC4,UPP,2020,401001,1155463
ITC4,LOW,2021,293318,1151655
ITC4,PRI,2021,448350,1151655
ITC4,UPP,2021,409987,1151655
ITC4,LOW,2022,291682,1140837
ITC4,PRI,2022,439014,1140837
ITC4,UPP,2022,410141,1140837
ITC4,LOW,2023,289715,1133527
ITC4,PRI,2023,433620,1133527
ITC4,UPP,2023,410192,1133527
ITC4,LOW,2024,285919,1125393
ITC4,PRI,2024,425367,1125393
ITC4,UPP,2024,414107,1125393
ITC41,LOW,2015,24876,106599
ITC41,PRI,2015,41721,106599
ITC41,UPP,2015,40002,106599
ITC41,LOW,2016,25130,107646
ITC41,PRI,2016,41952,107646
ITC41,UPP,2016,40564,107646
ITC41,LOW,2017,25252,108078
ITC41,PRI,2017,42069,108078
ITC41,UPP,2017,40757,108078
ITC41,LOW,2018,25786,108498
ITC41,PRI,2018,41882,108498
ITC41,UPP,2018,40830,108498
ITC41,LOW,2019,25987,108739
ITC41,PRI,2019,41443,108739
ITC41,UPP,2019,41309,108739
ITC41,LOW,2020,26340,108760
ITC41,PRI,2020,41077,108760
ITC41,UPP,2020,41343,108760
ITC41,LOW,2021,26424,108555
ITC41,PRI,2021,40065,108555
ITC41,UPP,2021,42066,108555
ITC41,LOW,2022,26191,107870
ITC41,PRI,2022,39452,107870
ITC41,UPP,2022,42227,107870
ITC41,LOW,2023,26260,107538
ITC41,PRI,2023,38732,107538
ITC41,UPP,2023,42546,107538
ITC41,LOW,2024,25655,106098
ITC41,PRI,2024,37736,106098
ITC41,UPP,2024,42707,106098
ITC42,LOW,2015,16652,65137
ITC42,PRI,2015,28167,65137
ITC42,UPP,2015,20318,65137
ITC42,LOW,2016,16631,65234
ITC42,PRI,2016,28203,65234
ITC42,UPP,2016,20400,65234
ITC42,LOW,2017,16931,64913
ITC42,PRI,2017,28018,64913
ITC42,UPP,2017,19964,64913
ITC42,LOW,2018,17034,64992
ITC42,PRI,2018,27802,64992
ITC42,UPP,2018,20156,64992
ITC42,LOW,2019,17065,64725
ITC42,PRI,2019,27615,64725
ITC42,UPP,2019,20045,64725
ITC42,LOW,2020,17118,64257
ITC42,PRI,2020,27115,64257
ITC42,UPP,2020,20024,64257
ITC42,LOW,2021,17073,64103
ITC42,PRI,2021,26486,64103
ITC42,UPP,2021,20544,64103
ITC42,LOW,2022,16967,63341
ITC42,PRI,2022,25987,63341
ITC42,UPP,2022,20387,63341
ITC42,LOW,2023,16851,62871
ITC42,PRI,2023,25776,62871
ITC42,UPP,2023,20244,62871
ITC42,LOW,2024,16713,62197
ITC42,PRI,2024,25030,62197
ITC42,UPP,2024,20454,62197
ITC43,LOW,2015,9614,40132
ITC43,PRI,2015,16124,40132
ITC43,UPP,2015,14394,40132
ITC43,LOW,2016,9562,40192
ITC43,PRI,2016,16228,40192
ITC43,UPP,2016,14402,40192
ITC43,LOW,2017,9507,40097
ITC43,PRI,2017,16138,40097
ITC43,UPP,2017,14452,40097
ITC43,LOW,2018,9640,40094
ITC43,PRI,2018,15987,40094
ITC43,UPP,2018,14467,40094
ITC43,LOW,2019,9721,39791
ITC43,PRI,2019,15816,39791
ITC43,UPP,2019,14254,39791
ITC43,LOW,2020,9691,39237
ITC43,PRI,2020,15253,39237
ITC43,UPP,2020,14293,39237
ITC43,LOW,2021,9697,38951
ITC43,PRI,2021,14724,38951
ITC43,UPP,2021,14530,38951
ITC43,LOW,2022,9648,38340
ITC43,PRI,2022,14354,38340
ITC43,UPP,2022,14338,38340
ITC43,LOW,2023,9492,37831
ITC43,PRI,2023,14038,37831
ITC43,UPP,2023,14301,37831
ITC43,LOW,2024,9375,37537
ITC43,PRI,2024,13688,37537
ITC43,UPP,2024,14474,37537
ITC44,LOW,2015,5262,21458
ITC44,PRI,2015,8338,21458
ITC44,UPP,2015,7858,21458
ITC44,LOW,2016,5220,21183
ITC44,PRI,2016,8169,21183
ITC44,UPP,2016,7794,21183
ITC44,LOW,2017,5102,21135
ITC44,PRI,2017,8180,21135
ITC44,UPP,2017,7853,21135
ITC44,LOW,2018,5161,20966
ITC44,PRI,2018,8053,20966
ITC44,UPP,2018,7752,20966
ITC44,LOW,2019,5066,20806
ITC44,PRI,2019,8029,20806
ITC44,UPP,2019,7711,20806
ITC44,LOW,2020,5111,20484
ITC44,PRI,2020,7822,20484
ITC44,UPP,2020,7551,20484
ITC44,LOW,2021,4888,20444
ITC44,PRI,2021,7858,20444
ITC44,UPP,2021,7698,20444
ITC44,LOW,2022,4933,20233
ITC44,PRI,2022,7678,20233
ITC44,UPP,2022,7622,20233
ITC44,LOW,2023,4928,20230
ITC44,PRI,2023,7626,20230
ITC44,UPP,2023,7676,20230
ITC44,LOW,2024,5001,20180
ITC44,PRI,2024,7542,20180
ITC44,UPP,2024,7637,20180
ITC45,LOW,2015,86959,350317
ITC45,PRI,2015,146938,350317
ITC45,UPP,2015,116420,350317
ITC45,LOW,2016,87557,353066
ITC45,PRI,2016,147795,353066
ITC45,UPP,2016,117714,353066
ITC45,LOW,2017,89309,357349
ITC45,PRI,2017,148494,357349
ITC45,UPP,2017,119546,357349
ITC45,LOW,2018,90465,360656
