DATAFLOW,FREQ,REF_AREA,DATA_TYPE,CPA_ATECO2007_COE,PARTNER_COUNTRY,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,MOTE_CPA_ATECO2007_COE,NOTE_PARTNER_COUNTRY,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2014-07,33127,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2014-08,33055,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2014-09,33721,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2014-10,33932,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2014-11,32651,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2014-12,33830,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2015-01,33638,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2015-02,34012,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2015-03,35072,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2015-04,34366,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2015-05,34610,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2015-06,34975,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2015-07,35423,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2015-08,32666,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2015-09,33809,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2015-10,33699,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2015-11,34728,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2015-12,33950,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2016-01,33303,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2016-02,34105,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2016-03,33405,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2016-04,34954,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2016-05,34400,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2016-06,34747,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2016-07,35184,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2016-08,34930,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2016-09,35068,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2016-10,34784,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2016-11,35684,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2016-12,36529,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2017-01,36720,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2017-02,36061,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2017-03,37903,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2017-04,37135,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2017-05,37493,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2017-06,37203,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2017-07,37222,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2017-08,38573,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2017-09,37721,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2017-10,37895,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2017-11,38606,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2017-12,40068,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2018-01,37596,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2018-02,37572,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2018-03,38241,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2018-04,38356,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2018-05,37688,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2018-06,39586,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2018-07,39275,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2018-08,39873,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2018-09,38508,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2018-10,39864,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2018-11,39829,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2018-12,38804,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2019-01,40050,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2019-02,39131,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2019-03,40069,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2019-04,39584,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2019-05,40306,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2019-06,40657,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2019-07,40184,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2019-08,39599,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2019-09,40840,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2019-10,41580,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2019-11,39040,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2019-12,40154,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2020-01,40519,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2020-02,40153,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2020-03,33642,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2020-04,21902,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2020-05,30207,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2020-06,34664,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2020-07,37248,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2020-08,38098,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2020-09,39355,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2020-10,39178,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2020-11,40846,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2020-12,39375,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2021-01,40077,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2021-02,40009,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2021-03,41358,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2021-04,43327,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2021-05,41757,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2021-06,42563,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2021-07,44311,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2021-08,44214,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2021-09,43848,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2021-10,44688,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2021-11,45751,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2021-12,45477,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2022-01,47928,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2022-02,48584,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2022-03,50068,,,,,,,,,,
