DATAFLOW,FREQ,REF_AREA,DATA_TYPE,SEX,AGE,MARITAL_STATUS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_SEX,NOTE_AGE,NOTE_MARITAL_STATUS,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC31,JAN,1,TOTAL,1,2024,48625,,,FILTER__ITC3,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC31,JAN,1,TOTAL,1,2025,49189,,,FILTER__ITC3,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC32,JAN,1,TOTAL,1,2019,58441,,,FILTER__ITC3,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC32,JAN,1,TOTAL,1,2020,58304,,,FILTER__ITC3,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC32,JAN,1,TOTAL,1,2021,58416,,,FILTER__ITC3,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC32,JAN,1,TOTAL,1,2022,58402,,,FILTER__ITC3,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC32,JAN,1,TOTAL,1,2023,58889,,,FILTER__ITC3,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC32,JAN,1,TOTAL,1,2024,59584,,,FILTER__ITC3,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC32,JAN,1,TOTAL,1,2025,60089,,,FILTER__ITC3,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC33,JAN,1,TOTAL,1,2019,176471,,,FILTER__ITC3,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC33,JAN,1,TOTAL,1,2020,177137,,,FILTER__ITC3,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC33,JAN,1,TOTAL,1,2021,179503,,,FILTER__ITC3,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC33,JAN,1,TOTAL,1,2022,179881,,,FILTER__ITC3,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC33,JAN,1,TOTAL,1,2023,182896,,,FILTER__ITC3,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC33,JAN,1,TOTAL,1,2024,185471,,,FILTER__ITC3,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC33,JAN,1,TOTAL,1,2025,188270,,,FILTER__ITC3,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC34,JAN,1,TOTAL,1,2019,46543,,,FILTER__ITC3,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC34,JAN,1,TOTAL,1,2020,46877,,,FILTER__ITC3,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC34,JAN,1,TOTAL,1,2021,47149,,,FILTER__ITC3,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC34,JAN,1,TOTAL,1,2022,47503,,,FILTER__ITC3,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC34,JAN,1,TOTAL,1,2023,48384,,,FILTER__ITC3,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC34,JAN,1,TOTAL,1,2024,49324,,,FILTER__ITC3,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC34,JAN,1,TOTAL,1,2025,49805,,,FILTER__ITC3,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC4,JAN,1,TOTAL,1,2019,2329410,,,FILTER__ITC4,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC4,JAN,1,TOTAL,1,2020,2350851,,,FILTER__ITC4,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC4,JAN,1,TOTAL,1,2021,2367931,,,FILTER__ITC4,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC4,JAN,1,TOTAL,1,2022,2373742,,,FILTER__ITC4,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC4,JAN,1,TOTAL,1,2023,2409551,,,FILTER__ITC4,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC4,JAN,1,TOTAL,1,2024,2438816,,,FILTER__ITC4,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC4,JAN,1,TOTAL,1,2025,2460223,,,FILTER__ITC4,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC41,JAN,1,TOTAL,1,2019,198186,,,FILTER__ITC4,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC41,JAN,1,TOTAL,1,2020,199246,,,FILTER__ITC4,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC41,JAN,1,TOTAL,1,2021,199600,,,FILTER__ITC4,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC41,JAN,1,TOTAL,1,2022,200601,,,FILTER__ITC4,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC41,JAN,1,TOTAL,1,2023,202851,,,FILTER__ITC4,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC41,JAN,1,TOTAL,1,2024,204346,,,FILTER__ITC4,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC41,JAN,1,TOTAL,1,2025,206664,,,FILTER__ITC4,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC42,JAN,1,TOTAL,1,2019,137408,,,FILTER__ITC4,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC42,JAN,1,TOTAL,1,2020,138111,,,FILTER__ITC4,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC42,JAN,1,TOTAL,1,2021,139001,,,FILTER__ITC4,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC42,JAN,1,TOTAL,1,2022,139403,,,FILTER__ITC4,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC42,JAN,1,TOTAL,1,2023,141438,,,FILTER__ITC4,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC42,JAN,1,TOTAL,1,2024,142516,,,FILTER__ITC4,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC42,JAN,1,TOTAL,1,2025,143434,,,FILTER__ITC4,,,,,,,
