area_code,year,museums_events
1195,2017,1.0
1195,2018,260.0
1195,2018,1.0
1196,2011,1.0
1198,2011,1.0
1198,2015,1.0
1198,2017,1.0
1198,2018,342.0
1198,2018,1.0
1198,2019,490.0
1198,2019,1.0
1198,2020,58.0
1198,2020,1.0
1199,2011,1.0
1199,2015,1.0
1199,2017,1.0
1199,2018,400.0
1199,2018,1.0
1199,2019,400.0
1199,2019,1.0
1199,2020,80.0
1199,2020,1.0
1201,2011,2677.0
1201,2011,3.0
1201,2015,1680.0
1201,2015,3.0
1201,2017,2.0
1201,2018,2058.0
1201,2018,2.0
1201,2019,2105.0
1201,2019,2.0
1201,2020,742.0
1201,2020,2.0
1202,2011,2.0
1202,2015,2.0
1202,2017,2.0
1202,2018,1555.0
1202,2018,2.0
1202,2019,1142.0
1202,2019,2.0
1202,2020,161.0
1202,2020,2.0
1203,2011,1.0
1203,2015,1.0
1203,2017,1.0
1203,2018,10302.0
1203,2018,1.0
1203,2019,70000.0
1203,2019,1.0
1203,2020,11109.0
1203,2020,1.0
1204,2011,1.0
1204,2015,1.0
1204,2017,1.0
1204,2018,150.0
1204,2018,1.0
1204,2019,120.0
1204,2019,1.0
1204,2020,30.0
1204,2020,1.0
1205,2011,1.0
1205,2017,1.0
1205,2018,100.0
1205,2018,1.0
1205,2019,120.0
1205,2019,1.0
1205,2020,150.0
1205,2020,1.0
1215,2011,1.0
1215,2015,1.0
1215,2017,1.0
1215,2018,1779.0
1215,2018,1.0
1215,2019,2187.0
1215,2019,1.0
1215,2020,388.0
1215,2020,1.0
1216,2011,1.0
1217,2011,1.0
1217,2015,1.0
1217,2017,1.0
1217,2018,3700.0
1217,2018,1.0
1217,2019,4600.0
1217,2019,1.0
1219,2011,1.0
1219,2015,2.0
1219,2017,1.0
1219,2018,127733.0
1219,2018,2.0
1219,2019,127632.0
1219,2019,2.0
1219,2020,38839.0
1219,2020,1.0
1226,2011,2.0
1226,2015,1.0
1226,2017,1.0
1226,2018,300.0
1226,2018,1.0
1226,2019,300.0
1226,2019,1.0
1226,2020,100.0
1226,2020,1.0
1232,2018,50.0
1232,2018,1.0
1232,2019,150.0
1232,2019,1.0
1232,2020,202.0
1232,2020,1.0
1236,2017,1.0
1236,2018,3540.0
1236,2018,1.0
1236,2019,3429.0
1236,2019,1.0
1236,2020,959.0
1236,2020,1.0
1242,2011,1.0
1242,2015,1.0
1242,2017,1.0
1242,2018,150.0
1242,2018,1.0
1242,2019,100.0
1242,2019,1.0
1242,2020,0.0
1242,2020,1.0
1244,2011,2.0
1244,2015,1.0
1244,2017,1.0
1244,2018,1200.0
1244,2018,1.0
1244,2019,1038.0
1244,2019,1.0
1244,2020,40.0
1244,2020,1.0
1245,2011,1.0
1245,2015,1.0
1245,2017,1.0
1245,2018,147.0
1245,2018,1.0
1245,2019,140.0
1245,2019,1.0
1254,2018,9341.0
1254,2018,1.0
1255,2011,1.0
1255,2015,1.0
1255,2017,1.0
1255,2018,118669.0
1255,2018,1.0
1255,2019,144939.0
1255,2019,1.0
1255,2020,85963.0
1255,2020,1.0
1257,2015,1.0
1257,2017,1.0
1257,2018,2900.0
1257,2018,1.0
1265,2015,1.0
1265,2017,1.0
1270,2011,2.0
1270,2015,2.0
1270,2017,2.0
1270,2018,11488.0
1270,2018,2.0
1270,2019,9503.0
1270,2019,2.0
1270,2020,2193.0
1270,2020,1.0
1272,2011,3725815.0
1272,2011,43.0
1272,2015,3436064.0
1272,2015,43.0
1272,2017,3475293.0
1272,2017,42.0
1272,2018,3860862.0
1272,2018,49.0
1272,2019,3721075.0
1272,2019,45.0
1272,2020,1147784.0
1272,2020,41.0
1275,2011,2.0
1275,2015,2.0
1275,2017,2.0
1275,2018,2500.0
1275,2018,2.0
1275,2019,4000.0
1275,2019,2.0
1275,2020,1340.0
1275,2020,3.0
1278,2011,1.0
1278,2015,1.0
1278,2020,1000.0
1278,2020,1.0
1282,2011,1.0
1282,2015,1.0
1282,2017,1.0
1282,2018,1710.0
1282,2018,1.0
1282,2019,1115.0
1282,2019,1.0
1282,2020,1258.0
1282,2020,1.0
1283,2011,1.0
1283,2015,1.0
1283,2017,1.0
1283,2018,2288.0
1283,2018,1.0
1283,2019,2400.0
1283,2019,1.0
1283,2020,720.0
1283,2020,1.0
1287,2011,9284.0
1287,2011,3.0
1287,2015,1.0
1292,2011,960106.0
1292,2011,3.0
1292,2015,587488.0
1292,2015,3.0
1292,2017,2.0
1292,2018,973609.0
1292,2018,2.0
1292,2019,837093.0
1292,2019,2.0
1292,2020,134788.0
1292,2020,2.0
1299,2015,1.0
1299,2017,1.0
1299,2018,30.0
1299,2018,1.0
1299,2019,40.0
1299,2019,1.0
1299,2020,10.0
1299,2020,1.0
1300,2015,1.0
1300,2017,1.0
1306,2011,1.0
1306,2015,1.0
1306,2017,1.0
1306,2019,70.0
1306,2019,1.0
1307,2011,2.0
1307,2015,1.0
1307,2017,1.0
1307,2018,1550.0
1307,2018,2.0
1307,2019,1305.0
1307,2019,1.0
1307,2020,125.0
1307,2020,1.0
1311,2018,94.0
1311,2018,1.0
1311,2019,30.0
1311,2019,1.0
1311,2020,0.0
1311,2020,1.0
1313,2015,1.0
1313,2017,1.0
2002,2015,1.0
2002,2017,1.0
2002,2018,5000.0
2002,2018,2.0
2002,2019,5100.0
2002,2019,2.0
2002,2020,3750.0
