area_code,year,tourism_support_level
ITD36,2010,214705.62962962964
ITD36,2011,224528.44444444444
ITD36,2012,219190.2962962963
ITD36,2013,226626.85185185185
ITD36,2014,236382.44444444444
ITD36,2015,251543.8148148148
ITD36,2016,241526.76923076922
ITD36,2017,250894.2564102564
ITD36,2018,250874.94017094016
ITD36,2019,253691.89743589744
ITD36,2020,96132.20512820513
ITD36,2021,155840.61538461538
ITD36,2022,222278.8034188034
ITD36,2023,242012.2735042735
ITD36,2024,248460.0341880342
ITD37,2008,78028.85185185185
ITD37,2009,75084.48148148147
ITD37,2010,72939.4074074074
ITD37,2011,75168.18518518518
ITD37,2012,73181.37037037036
ITD37,2013,64867.666666666664
ITD37,2014,65085.92592592593
ITD37,2015,66030.92592592593
ITD37,2016,62479.11111111111
ITD37,2017,63509.05982905983
ITD37,2018,62504.307692307695
ITD37,2019,64056.92307692308
ITD37,2020,40247.31623931624
ITD37,2021,54064.068376068375
ITD37,2022,59313.19658119658
ITD37,2023,64152.444444444445
ITD37,2024,54898.70085470085
ITD4,2008,401225.5925925926
ITD4,2009,399793.22222222225
ITD4,2010,394871.4074074074
ITD4,2011,408688.7037037037
ITD4,2012,403547.81481481483
ITD4,2013,366783.77777777775
ITD4,2014,358579.77777777775
ITD4,2015,373947.51851851854
ITD4,2016,363282.76923076925
ITD4,2017,382180.8205128205
ITD4,2018,397697.3333333333
ITD4,2019,400121.9487179487
ITD4,2020,205759.1452991453
ITD4,2021,314191.58974358975
ITD4,2022,408616.92307692306
ITD4,2023,439552.0683760684
ITD4,2024,450791.58974358975
ITD41,2008,26658.333333333332
ITD41,2009,24661.37037037037
ITD41,2010,24971.777777777777
ITD41,2011,26745.14814814815
ITD41,2012,25149.185185185186
ITD41,2013,22905.814814814814
ITD41,2014,22531.925925925927
ITD41,2015,23839.0
ITD41,2016,22919.418803418805
ITD41,2017,25078.222222222223
ITD41,2018,25122.358974358973
ITD41,2019,24280.0
ITD41,2020,13878.564102564103
ITD41,2021,19628.957264957266
ITD41,2022,25422.08547008547
ITD41,2023,28051.69230769231
ITD41,2024,28147.350427350426
ITD42,2008,250052.4814814815
ITD42,2009,249336.7037037037
ITD42,2010,244261.4814814815
ITD42,2011,249516.44444444444
ITD42,2012,245807.5185185185
ITD42,2013,229759.59259259258
ITD42,2014,224702.14814814815
ITD42,2015,230302.0
ITD42,2016,220371.89743589744
ITD42,2017,230035.24786324787
ITD42,2018,236507.07692307694
ITD42,2019,235305.77777777778
ITD42,2020,127949.57264957266
ITD42,2021,191676.7863247863
ITD42,2022,241085.81196581197
ITD42,2023,255625.05982905984
ITD42,2024,255825.57264957266
ITD43,2008,82554.77777777778
ITD43,2009,80407.11111111111
ITD43,2010,79082.29629629629
ITD43,2011,80252.22222222222
ITD43,2012,79272.77777777778
ITD43,2013,66229.88888888889
ITD43,2014,63008.851851851854
ITD43,2015,68183.29629629629
ITD43,2016,68381.43589743589
ITD43,2017,72719.31623931623
ITD43,2018,77892.44444444444
ITD43,2019,77583.79487179487
ITD43,2020,36764.41025641026
ITD43,2021,59824.307692307695
ITD43,2022,76213.84615384616
ITD43,2023,82839.89743589744
ITD43,2024,83382.46153846153
ITD44,2008,41960.0
ITD44,2009,45388.03703703704
ITD44,2010,46555.851851851854
ITD44,2011,52174.88888888889
ITD44,2012,53318.333333333336
ITD44,2013,47888.48148148148
ITD44,2014,48336.851851851854
ITD44,2015,51623.22222222222
ITD44,2016,51610.017094017094
ITD44,2017,54348.03418803419
ITD44,2018,58175.45299145299
ITD44,2019,62952.37606837607
ITD44,2020,27166.59829059829
ITD44,2021,43061.53846153846
ITD44,2022,65895.17948717948
ITD44,2023,73035.4188034188
ITD44,2024,83436.20512820513
ITD5,2008,1745239.6296296297
ITD5,2009,1736193.1851851852
ITD5,2010,1722929.9259259258
ITD5,2011,1773250.0
ITD5,2012,1721503.0740740742
ITD5,2013,1684718.8148148148
ITD5,2014,1651141.111111111
ITD5,2015,1714765.888888889
ITD5,2016,1646390.2222222222
ITD5,2017,1748613.47008547
ITD5,2018,1781411.829059829
ITD5,2019,1776340.8547008547
ITD5,2020,953939.452991453
ITD5,2021,1327101.8803418803
ITD5,2022,1669236.1025641025
ITD5,2023,1731473.3675213675
ITD5,2024,1800426.564102564
ITD51,2008,33431.81481481482
ITD51,2009,33739.148148148146
ITD51,2010,33871.18518518518
ITD51,2011,32377.296296296296
ITD51,2012,26827.85185185185
ITD51,2013,24128.0
ITD51,2014,25645.40740740741
ITD51,2015,24677.62962962963
ITD51,2016,24607.418803418805
ITD51,2017,25161.299145299145
ITD51,2018,27649.23076923077
ITD51,2019,27517.777777777777
ITD51,2020,14723.589743589744
ITD51,2021,21617.4358974359
ITD51,2022,29117.264957264957
ITD51,2023,30103.62393162393
ITD51,2024,28711.62393162393
ITD52,2008,79531.77777777778
ITD52,2009,74911.22222222222
ITD52,2010,75140.18518518518
ITD52,2011,75472.14814814815
ITD52,2012,74306.77777777778
ITD52,2013,76874.55555555556
ITD52,2014,82713.51851851853
ITD52,2015,87497.48148148147
ITD52,2016,81664.68376068377
ITD52,2017,78408.99145299145
ITD52,2018,81384.03418803419
ITD52,2019,80463.1452991453
ITD52,2020,35281.094017094016
ITD52,2021,49741.7094017094
ITD52,2022,69961.7435897436
ITD52,2023,72784.06837606838
ITD52,2024,72787.48717948717
ITD53,2008,55640.51851851852
ITD53,2009,50655.05590062112
ITD53,2010,39234.07407407407
ITD53,2011,36936.22222222222
ITD53,2012,33835.666666666664
ITD53,2013,31021.14814814815
ITD53,2014,22600.037037037036
ITD53,2015,31018.62962962963
ITD53,2016,33939.282051282054
ITD53,2017,40400.27350427351
ITD53,2018,42181.26495726496
ITD53,2019,42629.1282051282
ITD53,2020,20191.213675213676
ITD53,2021,25074.222222222223
ITD53,2022,35831.282051282054
ITD53,2023,37605.4358974359
ITD53,2024,38308.068376068375
ITD54,2008,72552.18518518518
ITD54,2009,73067.55555555556
ITD54,2010,74402.77777777778
ITD54,2011,73757.44444444444
ITD54,2012,68975.51851851853
ITD54,2013,66128.96296296296
ITD54,2014,59878.25925925926
ITD54,2015,63701.25925925926
ITD54,2016,68590.94017094017
ITD54,2017,75104.30769230769
ITD54,2018,78585.7094017094
ITD54,2019,81594.90598290598
ITD54,2020,41126.70085470085
ITD54,2021,58645.29914529915
ITD54,2022,80506.0170940171
ITD54,2023,88061.77777777778
ITD54,2024,92894.32478632478
ITD55,2008,170142.33333333334
ITD55,2009,165370.96296296295
ITD55,2010,175493.11111111112
ITD55,2011,182819.74074074073
ITD55,2012,185432.22222222222
ITD55,2013,182574.22222222222
ITD55,2014,181590.33333333334
ITD55,2015,186480.62962962964
ITD55,2016,202952.88888888888
ITD55,2017,232477.05982905984
ITD55,2018,242781.67521367522
ITD55,2019,247222.76923076922
ITD55,2020,98196.78632478633
ITD55,2021,146513.36752136753
ITD55,2022,230499.65811965812
ITD55,2023,264215.62393162394
ITD55,2024,293074.5641025641
ITD56,2008,111525.37037037036
ITD56,2009,112004.33333333333
ITD56,2010,109112.5925925926
ITD56,2011,113585.22222222222
ITD56,2012,111725.0
ITD56,2013,106106.18518518518
ITD56,2014,109316.37037037036
ITD56,2015,132831.44444444444
ITD56,2016,108849.50427350428
ITD56,2017,124217.05982905983
ITD56,2018,120502.46153846153
ITD56,2019,109271.17948717948
ITD56,2020,66807.48717948717
ITD56,2021,93925.4017094017
ITD56,2022,111841.47008547008
ITD56,2023,111668.41025641025
ITD56,2024,117005.60683760684
ITD57,2008,289341.4074074074
ITD57,2009,296457.0
ITD57,2010,283512.037037037
ITD57,2011,293725.55555555556
ITD57,2012,281116.8888888889
ITD57,2013,278274.14814814815
ITD57,2014,278843.2962962963
ITD57,2015,281103.5925925926
ITD57,2016,268618.22222222225
ITD57,2017,281920.2051282051
ITD57,2018,281390.1196581197
ITD57,2019,277941.4358974359
ITD57,2020,168174.8034188034
ITD57,2021,228470.73504273503
ITD57,2022,269841.19658119656
ITD57,2023,270253.1623931624
ITD57,2024,280844.10256410256
ITD58,2008,246288.1851851852
ITD58,2009,244749.1851851852
ITD58,2010,244273.22222222222
ITD58,2011,246741.92592592593
ITD58,2012,228687.88888888888
ITD58,2013,228790.4814814815
ITD58,2014,213591.8148148148
ITD58,2015,215984.37037037036
ITD58,2016,206769.36752136753
ITD58,2017,221856.10256410256
ITD58,2018,226871.82905982906
ITD58,2019,224975.1794871795
ITD58,2020,132990.15384615384
ITD58,2021,190748.5128205128
ITD58,2022,229455.6923076923
ITD58,2023,227751.35042735044
ITD58,2024,235635.28205128206
ITD59,2008,686786.0370370371
ITD59,2009,685551.4074074074
ITD59,2010,687890.7407407408
ITD59,2011,717834.4444444445
ITD59,2012,710595.2592592592
ITD59,2013,690821.1111111111
ITD59,2014,676962.074074074
ITD59,2015,691470.8518518518
ITD59,2016,650397.9145299145
ITD59,2017,669068.170940171
ITD59,2018,680065.5042735043
ITD59,2019,684725.3333333334
ITD59,2020,376447.62393162394
ITD59,2021,512365.19658119656
ITD59,2022,612181.7777777778
ITD59,2023,629029.9145299145
ITD59,2024,641165.5042735043
ITDA,2008,1889861.6666666667
ITDA,2009,1925830.148148148
ITDA,2010,1950259.962962963
ITDA,2011,1975590.3333333333
ITDA,2012,2013050.5555555555
ITDA,2013,1999663.962962963
ITDA,2014,1979134.7037037036
ITDA,2015,2066015.6666666667
ITDA,2016,2195702.296296296
ITDA,2017,2287403.111111111
ITDA,2018,2345991.7407407407
ITDA,2019,2198180.341880342
ITDA,2020,1510649.7407407407
ITDA,2021,1631647.5185185184
ITDA,2022,2390772.0
ITDA,2023,2537645.962962963
ITDA,2024,2606722.296296296
ITE1,2008,1930723.851851852
ITE1,2009,1915920.2592592593
ITE1,2010,1977225.4814814816
ITE1,2011,2061873.6666666667
ITE1,2012,2021851.4444444445
ITE1,2013,2027736.4074074074
ITE1,2014,2056880.4814814816
ITE1,2015,2116595.814814815
ITE1,2016,1952624.1025641025
ITE1,2017,2035429.3333333333
ITE1,2018,2113028.8547008545
ITE1,2019,2134139.5213675215
ITE1,2020,941459.2478632479
ITE1,2021,1357555.2478632478
ITE1,2022,1906470.7692307692
ITE1,2023,2074206.9401709402
ITE1,2024,2093970.0512820513
ITE11,2008,53113.07407407407
ITE11,2009,58127.07407407407
ITE11,2010,55262.92592592593
ITE11,2011,51661.62962962963
ITE11,2012,53880.444444444445
ITE11,2013,46687.81481481482
ITE11,2014,48542.7037037037
ITE11,2015,48492.88888888889
ITE11,2016,43391.11111111111
ITE11,2017,46559.72649572649
ITE11,2018,46051.07692307692
ITE11,2019,45549.40170940171
ITE11,2020,32454.529914529914
ITE11,2021,41749.470085470086
ITE11,2022,48681.743589743586
ITE11,2023,47466.73504273504
ITE11,2024,46261.40170940171
ITE12,2008,172486.0
ITE12,2009,165794.11111111112
ITE12,2010,167206.8148148148
ITE12,2011,169970.88888888888
ITE12,2012,166878.0
ITE12,2013,159580.7037037037
ITE12,2014,161683.22222222222
ITE12,2015,161981.1851851852
ITE12,2016,159161.33333333334
