area_code,vocational_training_attendance,year,value
ITF41,9,2024,265636.00028601586
ITF42,0,2024,536506.0012049389
ITF42,1,2024,22263.999101229827
ITF42,9,2024,558770.0003061687
ITF43,0,2024,244912.9011113055
ITF43,1,2024,8968.099029959476
ITF43,9,2024,253881.00014126496
ITF44,0,2024,168461.0660212171
ITF44,1,2024,5858.933985792755
ITF44,9,2024,174320.00000700983
ITF45,0,2024,344212.4327947963
ITF45,1,2024,13628.567266198876
ITF45,9,2024,357841.0000609952
ITF5,0,2024,231706.08939658117
ITF5,1,2024,10338.910638554984
ITF5,9,2024,242045.0000351361
ITF51,0,2024,149517.87370336268
ITF51,1,2024,6882.126331439498
ITF51,9,2024,156400.0000348022
ITF52,0,2024,82188.21569321846
ITF52,1,2024,3456.7843071154853
ITF52,9,2024,85645.00000033394
ITF6,0,2024,800747.4540801885
ITF6,1,2024,30643.545977848957
ITF6,9,2024,831391.0000580375
ITF61,0,2024,293460.9086783908
ITF61,1,2024,10758.0913216744
ITF61,9,2024,304219.0000000652
ITF62,0,2024,69983.16833296749
ITF62,1,2024,1920.8316771011528
ITF62,9,2024,71904.00001006863
ITF63,0,2024,148685.33697447166
ITF63,1,2024,5966.663030655584
ITF63,9,2024,154652.00000512725
ITF64,0,2024,64870.25956786574
ITF64,1,2024,2831.740434036136
ITF64,9,2024,67702.00000190188
ITF65,0,2024,223747.7805264929
ITF65,1,2024,9166.21951438168
ITF65,9,2024,232914.00004087453
ITG,0,2024,2797302.569782147
ITG,1,2024,105124.43065932016
ITG,9,2024,2902427.0004414674
ITG1,0,2024,2103737.687632665
ITG1,1,2024,71016.31264000165
ITG1,9,2024,2174754.0002726666
ITG11,0,2024,180795.3579865473
ITG11,1,2024,5084.642025503837
ITG11,9,2024,185880.0000120512
ITG12,0,2024,527585.7334807933
ITG12,1,2024,18411.26652609641
ITG12,9,2024,545997.0000068897
ITG13,0,2024,266699.9005452913
ITG13,1,2024,9952.099471880958
ITG13,9,2024,276652.00001717225
ITG14,0,2024,181681.6323111102
ITG14,1,2024,4752.367703690087
ITG14,9,2024,186434.0000148003
ITG15,0,2024,109723.48760379603
ITG15,1,2024,3143.512404398717
ITG15,9,2024,112867.00000819477
ITG16,0,2024,68419.20372099108
ITG16,1,2024,2257.7963257779084
ITG16,9,2024,70677.00004676898
ITG17,0,2024,465068.7929828236
ITG17,1,2024,18195.2071154452
ITG17,9,2024,483264.0000982689
ITG18,0,2024,136801.15375385684
ITG18,1,2024,3617.846259252956
ITG18,9,2024,140419.0000131098
ITG19,0,2024,166962.42524745545
ITG19,1,2024,5601.574807955577
ITG19,9,2024,172564.00005541102
ITG2,0,2024,693564.8821494821
