area_code,year,housing_urban_development_support
ITF4,2012,127.7
ITF4,2013,127.9
ITF4,2014,134.3
ITF4,2015,136.2
ITF4,2016,134.8
ITF4,2017,126.7
ITF4,2018,121.55
ITF4,2019,126.4
ITF4,2020,130.95
ITF4,2021,134.15
ITF4,2022,129.3
ITF4,2023,140.2
ITF4,2024,136.0
ITF4,2025,151.65
ITF5,2004,110.4
ITF5,2005,129.0
ITF5,2006,124.9
ITF5,2007,127.05
ITF5,2008,133.65
ITF5,2009,126.05
ITF5,2010,125.6
ITF5,2011,117.4
ITF5,2012,123.0
ITF5,2013,109.75
ITF5,2014,124.55
ITF5,2015,127.1
ITF5,2016,130.9
ITF5,2017,122.05
ITF5,2018,127.2
ITF5,2019,135.4
ITF5,2020,125.9
ITF5,2021,131.65
ITF5,2022,139.55
ITF5,2023,141.9
ITF5,2024,127.6
ITF5,2025,130.5
ITF6,2004,113.75
ITF6,2005,135.25
ITF6,2006,120.05
ITF6,2007,117.4
ITF6,2008,125.7
ITF6,2009,118.65
ITF6,2010,117.3
ITF6,2011,118.65
ITF6,2012,111.8
ITF6,2013,102.7
ITF6,2014,108.8
ITF6,2015,120.0
ITF6,2016,126.95
ITF6,2017,112.0
ITF6,2018,116.2
ITF6,2019,122.35
ITF6,2020,131.1
ITF6,2021,132.7
ITF6,2022,133.75
ITF6,2023,119.15
ITF6,2024,115.2
ITF6,2025,126.9
ITG,2004,110.8
ITG,2005,123.2
ITG,2006,120.5
ITG,2007,125.15
ITG,2008,130.2
ITG,2009,126.55
ITG,2010,124.3
ITG,2011,119.0
ITG,2012,120.45
ITG,2013,121.05
ITG,2014,122.6
ITG,2015,122.15
ITG,2016,134.65
ITG,2017,124.65
ITG,2018,125.95
ITG,2019,142.05
ITG,2020,135.0
ITG,2021,134.25
ITG,2022,135.9
ITG,2023,134.4
ITG,2024,125.2
ITG,2025,138.15
ITG1,2004,105.8
ITG1,2005,118.85
ITG1,2006,117.1
ITG1,2007,121.3
ITG1,2008,125.8
ITG1,2009,122.7
ITG1,2010,117.85
ITG1,2011,112.55
ITG1,2012,114.0
ITG1,2013,114.6
ITG1,2014,118.15
ITG1,2015,119.2
ITG1,2016,135.0
ITG1,2017,123.9
ITG1,2018,124.2
ITG1,2019,144.95
ITG1,2020,137.35
ITG1,2021,134.95
ITG1,2022,134.85
ITG1,2023,127.15
ITG1,2024,120.15
ITG1,2025,134.1
ITG2,2004,126.8
ITG2,2005,136.85
ITG2,2006,130.85
ITG2,2007,137.7
ITG2,2008,143.35
ITG2,2009,138.2
ITG2,2010,143.75
