area_code,year,total_employees,startup_employees,startup_share
ITE31,2016,69309.16,6043.61,8.719785379017722
ITE31,2017,73296.71,6008.75,8.197844077858337
ITE32,2012,103121.88,7106.54,6.891398799168518
ITE32,2013,98552.25,6164.6,6.255159065368879
ITE32,2014,93496.85,6222.53,6.655336516684786
ITE32,2015,90392.43,6389.14,7.068224628987185
ITE32,2016,87188.84,6957.31,7.979587754579601
ITE32,2017,88628.35,7417.07,8.36873302955544
ITE33,2012,60417.42,4455.49,7.374512185392888
ITE33,2013,57280.55,3658.55,6.387072051507885
ITE33,2014,56525.68,4151.78,7.344944810924875
ITE33,2015,55991.01,4370.59,7.805878122219978
ITE33,2016,55182.68,4652.43,8.43096058400933
ITE33,2017,57854.09,5089.04,8.796335747394869
ITE34,2012,33541.15,2800.78,8.350280178228832
ITE34,2013,34252.71,2600.46,7.591983232859531
ITE34,2014,33163.64,2994.56,9.029648132714021
ITE34,2015,32523.93,2795.71,8.59585542091623
ITE34,2016,31411.86,3231.08,10.286178532566998
ITE34,2017,32920.47,3707.62,11.262354395304804
ITE4,2012,1412585.61,126995.67,8.990299002125612
ITE4,2013,1394725.21,113699.74,8.15212481890967
ITE4,2014,1399777.52,121420.83,8.674294897949212
ITE4,2015,1409161.6,143561.72,10.187740000862924
ITE4,2016,1454345.41,171125.99,11.76653007073471
ITE4,2017,1472118.62,164261.6,11.158176913759842
ITE41,2012,29304.37,2977.02,10.158962639360615
ITE41,2013,28066.34,2607.56,9.290701958288826
ITE41,2014,27233.16,2596.64,9.53484648861902
ITE41,2015,27191.28,2885.27,10.611012059748568
ITE41,2016,28331.51,3160.88,11.156765029467191
ITE41,2017,29506.47,3258.24,11.042459501255147
ITE42,2012,11255.36,968.75,8.607010348847128
ITE42,2013,9982.69,846.63,8.480980577379443
ITE42,2014,9715.68,804.5,8.280429161932052
ITE42,2015,8741.1,862.19,9.86363272357026
ITE42,2016,9375.61,1316.25,14.039086523436875
ITE42,2017,9643.98,1447.08,15.005008305699514
ITE43,2012,1242141.95,104153.98,8.385030390447726
ITE43,2013,1232839.66,94097.41,7.63257486379048
ITE43,2014,1243894.07,102275.8,8.222227476331646
ITE43,2015,1253482.42,123755.37,9.872924264865238
ITE43,2016,1290430.44,147615.74,11.439263630513862
ITE43,2017,1301119.01,141697.21,10.890411169997432
ITE44,2012,72166.91,11321.79,15.688339711371874
ITE44,2013,69914.77,10345.5,14.79730248701383
ITE44,2014,68598.83,10341.21,15.074907254249087
ITE44,2015,69119.62,9984.84,14.445739140348286
ITE44,2016,72509.27,11286.75,15.565940741094206
ITE44,2017,76938.74,11124.24,14.458567946394755
ITE45,2012,57717.02,7574.13,13.122870862009162
ITE45,2013,53921.75,5802.64,10.761223439521158
ITE45,2014,50335.78,5402.68,10.733279587601505
ITE45,2015,50627.18,6074.05,11.997606819103888
ITE45,2016,53698.58,7746.37,14.425651479052146
ITE45,2017,54910.42,6734.83,12.265121993239172
