area_code,year,healthcare_worker_density
ITC,2019,1.51
ITC,2019,17.21
ITC,2019,0.7
ITC,2019,2.51
ITC,2019,1.09
ITC,2019,1.42
ITC,2019,12.56
ITC,2019,30.4
ITC,2019,1.47
ITC,2019,38.07
ITC,2019,0.67
ITC,2020,3291.0
ITC,2020,3488.0
ITC,2020,14256.0
ITC,2020,874.0
ITC,2020,11894.0
ITC,2020,1773.0
ITC,2020,1257.0
ITC,2020,4470.0
ITC,2020,10121.0
ITC,2020,1830.0
ITC,2020,95179.0
ITC,2020,1293.0
ITC,2020,2475.0
ITC,2020,27548.0
ITC,2020,1082.0
ITC,2020,3897.0
ITC,2020,1725.0
ITC,2020,2172.0
ITC,2020,21267.0
ITC,2020,48083.0
ITC,2020,2157.0
ITC,2020,59977.0
ITC,2020,1063.0
ITC,2020,2.06
ITC,2020,2.19
ITC,2020,8.94
ITC,2020,0.55
ITC,2020,7.46
ITC,2020,1.11
ITC,2020,0.79
ITC,2020,2.8
ITC,2020,6.35
ITC,2020,1.15
ITC,2020,59.7
ITC,2020,0.81
ITC,2020,1.55
ITC,2020,17.28
ITC,2020,0.68
ITC,2020,2.44
ITC,2020,1.08
ITC,2020,1.36
ITC,2020,13.34
ITC,2020,30.16
ITC,2020,1.35
ITC,2020,37.62
ITC,2020,0.67
ITC,2021,3412.0
ITC,2021,3638.0
ITC,2021,13568.0
ITC,2021,875.0
ITC,2021,11536.0
ITC,2021,1747.0
ITC,2021,1290.0
ITC,2021,4338.0
ITC,2021,9789.0
ITC,2021,1925.0
ITC,2021,92596.0
ITC,2021,1338.0
ITC,2021,2600.0
ITC,2021,28658.0
ITC,2021,1141.0
ITC,2021,3809.0
ITC,2021,1666.0
ITC,2021,2143.0
ITC,2021,21774.0
ITC,2021,49857.0
ITC,2021,2224.0
ITC,2021,61393.0
ITC,2021,1090.0
ITC,2021,2.15
ITC,2021,2.29
ITC,2021,8.55
ITC,2021,0.55
ITC,2021,7.27
ITC,2021,1.1
ITC,2021,0.81
ITC,2021,2.73
ITC,2021,6.17
ITC,2021,1.21
ITC,2021,58.36
ITC,2021,0.84
ITC,2021,1.64
ITC,2021,18.06
ITC,2021,0.72
ITC,2021,2.4
ITC,2021,1.05
ITC,2021,1.35
ITC,2021,13.72
ITC,2021,31.42
ITC,2021,1.4
ITC,2021,38.7
ITC,2021,0.69
ITC,2022,3495.0
ITC,2022,3801.0
ITC,2022,14273.0
ITC,2022,926.0
ITC,2022,11103.0
ITC,2022,1710.0
ITC,2022,1368.0
ITC,2022,4530.0
ITC,2022,9393.0
ITC,2022,1999.0
ITC,2022,97836.0
ITC,2022,1406.0
ITC,2022,2689.0
ITC,2022,29999.0
ITC,2022,1184.0
ITC,2022,3837.0
ITC,2022,1644.0
ITC,2022,2193.0
ITC,2022,22611.0
ITC,2022,51981.0
ITC,2022,2290.0
ITC,2022,63084.0
ITC,2022,1180.0
ITC,2022,2.21
ITC,2022,2.4
ITC,2022,9.01
ITC,2022,0.58
ITC,2022,7.01
ITC,2022,1.08
ITC,2022,0.86
ITC,2022,2.86
ITC,2022,5.93
ITC,2022,1.26
ITC,2022,61.74
ITC,2022,0.89
ITC,2022,1.7
ITC,2022,18.93
ITC,2022,0.75
ITC,2022,2.42
ITC,2022,1.04
ITC,2022,1.38
ITC,2022,14.27
ITC,2022,32.81
ITC,2022,1.45
ITC,2022,39.81
ITC,2022,0.74
ITC1,2013,875.0
ITC1,2013,749.0
ITC1,2013,3594.0
ITC1,2013,207.0
ITC1,2013,3629.0
ITC1,2013,451.0
ITC1,2013,254.0
